number,x,y,opinion,Q_pos,Q_neg,Q
0,0.8699582180048668,0.6964259644301277,Positive,0.26636636292708404,-0.2881879997760658,0.26636636292708404
1,0.9842093456149965,0.3530596988578074,Positive,-0.08297681554732894,-0.33407839927668703,-0.08297681554732894
2,0.7214254158102151,0.09249040880782422,Negative,0.18612444915714454,0.27852644085513834,0.27852644085513834
3,0.8787009813895819,0.41074514948552177,Positive,0.37765463578438496,0.07284314829460792,0.37765463578438496
4,0.7748904527608953,0.9421075862234232,Negative,-0.4242826466765257,-0.04182456188627748,-0.04182456188627748
5,0.6329229097943988,0.632071362537602,Negative,-0.33775767190297457,0.4783443059973971,0.4783443059973971
6,0.9122034725181116,0.7624358490230985,Positive,0.10590518655837311,0.023129019523793315,0.10590518655837311
7,0.9238831472095023,0.14513944231785836,Positive,0.3530317212310127,0.02774665357085704,0.3530317212310127
8,0.9627837277469453,0.9813974984704985,Negative,-0.19131898171070416,-0.1772322354958874,-0.1772322354958874
9,0.7417847960970343,0.003454955462466769,Positive,-0.2142723084953848,0.057318062911932754,0.057318062911932754
10,0.43182969451859055,0.9300524707041558,Negative,-0.30637442672882464,0.22684486231105205,0.22684486231105205
11,0.9455512105366455,0.3871710765094356,Negative,0.31825440461905874,0.39513994501627514,0.39513994501627514
12,0.0897029731631952,0.4260056952146889,Negative,-0.42977229472857137,-0.3110974741406918,-0.3110974741406918
13,0.4496331446934765,0.6708166182005935,Positive,0.09639731142518126,-0.29466893850150266,0.09639731142518126
14,0.1601560074982129,0.2397401418298658,Positive,0.4017989532784947,-0.07913213857202395,0.4017989532784947
15,0.6312593949018738,0.4393998918633618,Positive,0.2566694277428069,-0.49987171209055936,0.2566694277428069
16,0.9173895726277143,0.6751335199950215,Negative,0.1656053875249719,0.19041604696969494,0.19041604696969494
17,0.9168723873292878,0.0970808019173035,Negative,-0.02482669306463703,0.45779068264609524,0.45779068264609524
18,0.926684985299272,0.4384715888194385,Negative,-0.10920291343799027,0.19956882894091377,0.19956882894091377
19,0.4616374003450846,0.9601712422178474,Negative,-0.4540252228011017,-0.3234247876080162,-0.3234247876080162
20,0.12314427752308355,0.07509039484978841,Positive,0.489568851086004,0.17850841785064075,0.489568851086004
21,0.735679123455308,0.8264883660545135,Negative,0.07859236165768713,0.2784336463847279,0.2784336463847279
22,0.6903009548010038,0.5087643610530355,Positive,0.1616999103968051,-0.01930332558404868,0.1616999103968051
23,0.9021254774496485,0.45859750058288595,Negative,-0.14590759763367622,-0.09452183986685936,-0.09452183986685936
24,0.9957009607484444,0.20393822306734544,Negative,0.25792355189552885,0.41724390066231654,0.41724390066231654
25,0.17138348408693715,0.3839189234655185,Positive,-0.4587023994316711,0.06404585865173962,0.06404585865173962
26,0.5661900308014922,0.1422780026047199,Positive,0.21947637333731795,-0.4323371172064112,0.21947637333731795
27,0.6259263065180026,0.5045156262404665,Negative,-0.04153060933023478,0.01999811668823337,0.01999811668823337
28,0.733459613343941,0.953878122663781,Negative,-0.09100307302238986,0.14422603589201033,0.14422603589201033
29,0.40717446288886006,0.37892036682488417,Negative,0.05681606364494407,0.4745593532385455,0.4745593532385455
30,0.925104769843669,0.5632427471522535,Positive,-0.02024675267208975,-0.42019433064578826,-0.02024675267208975
31,0.3478856900106563,0.24232805916357647,Positive,-0.1296248761838309,-0.34177556283359356,-0.1296248761838309
32,0.7647898565489478,0.3632605938977771,Positive,-0.2508046416126536,0.07959535874167423,0.07959535874167423
33,0.7415991146077994,0.692210135944254,Positive,0.062977059862381,-0.31214568912440444,0.062977059862381
34,0.16993747741798015,0.4601143344686057,Positive,-0.12861810099195392,-0.19297506737154124,-0.12861810099195392
35,0.3258481579058117,0.06409247053998102,Positive,-0.30834009637758464,-0.3919236937403159,-0.30834009637758464
36,0.2742583498857488,0.17488713191625338,Positive,0.38843477020115746,0.41049095422505366,0.41049095422505366
37,0.9200475916943882,0.028763775310327366,Negative,0.19705860244742912,0.319245713949013,0.319245713949013
38,0.6928103800361664,0.7731798802180314,Negative,-0.4481646350327704,-0.2525005577867677,-0.2525005577867677
39,0.6560685465675403,0.448533676070629,Negative,0.09357387465464462,0.2562591446118674,0.2562591446118674
40,0.8187789923422688,0.9871100601840539,Negative,0.46293325147271325,0.47087636871386174,0.47087636871386174
41,0.0945031657328308,0.2870118123274561,Positive,0.3232829487972011,-0.18897463036460216,0.3232829487972011
42,0.5354678307772847,0.621778010242032,Negative,-0.31504724004719675,-0.10882307602008479,-0.10882307602008479
43,0.6945379656491314,0.4733629476239334,Positive,-0.21602116420352457,-0.06686650314868747,-0.06686650314868747
44,0.8582046251036948,0.13095157422884762,Negative,0.3095327412491614,0.44136000779116435,0.44136000779116435
45,0.2679719658320786,0.6963740886413712,Positive,0.17970332455248672,-0.2006195112020741,0.17970332455248672
46,0.5626482424644214,0.05653584440187398,Negative,0.22267291340364903,0.4671150500372917,0.4671150500372917
47,0.4754508358137035,0.939359979013453,Negative,-0.2263759467874089,-0.10689755878814167,-0.10689755878814167
48,0.605662807007891,0.09298323477248405,Positive,-0.16766516019259936,-0.4138098461333608,-0.16766516019259936
49,0.647618173604862,0.2310911014948429,Negative,0.09327764780087577,0.37195476860343957,0.37195476860343957
50,0.7017513316053829,0.7192620336663523,Negative,-0.3123079484030331,0.11430020158485243,0.11430020158485243
51,0.19502450423651052,0.35735010667890443,Negative,-0.23887175906692792,0.3939686791296184,0.3939686791296184
52,0.06749183431176209,0.1899997525575845,Negative,0.060112726947253114,0.29503490696539425,0.29503490696539425
53,0.8016809772681581,0.9691033025780558,Positive,0.04990766995133833,-0.3392832273106018,0.04990766995133833
54,0.8439273599132264,0.22388614587896327,Positive,0.49288239414149404,0.10400224797900837,0.49288239414149404
55,0.535242529002464,0.6947088437024648,Positive,0.3915116461981972,-0.33174937350865163,0.3915116461981972
56,0.8193042426330736,0.09828505723038838,Negative,-0.49772970380527337,-0.39766705384255974,-0.39766705384255974
57,0.21696046301804417,0.8368686926010097,Positive,-0.20351666833688076,-0.4533232211329854,-0.20351666833688076
58,0.518307234114524,0.5082441655267891,Positive,-0.0022881855747830526,0.1433907820881084,0.1433907820881084
59,0.5687500338447338,0.40964502279128645,Positive,0.4668098894798688,0.3921725241662385,0.4668098894798688
60,0.7728397737439329,0.9304107354372576,Positive,0.18766907220012763,-0.05588099546089875,0.18766907220012763
